Gulshan colony,Faisal Town,15 min,9.6
Gulshan colony,Chungi amrsandu,4 min,2.1
Gulshan colony,Ywanaabad,10 min,6.4
Gulshan colony,kala shah kaku,51 min,50.0
Gulshan colony,wahdatroad,10 min,7.5
Gulshan colony,Ichraaa,15 min,11.2
Gulshan colony,Jnazgah,15 min,11.2
Gulshan colony,allama iqbal town,22 min,12.3
Gulshan colony,dubai chownk,18 min,11.2
askari 10,saddar,18 min,7.7
askari 10,sherpo bridge,14 min,8.6
askari 10,new campus,28 min,19.0
askari 10,defence mor,17 min,9.5
askari 10,ghazi road,21 min,10.5
askari 10,bhatta chowk,55 min,53.7
askari 10,ra bazar,15 min,8.3
askari 10,firdus market,23 min,11.5
askari 10,shah tajj market,19 min,10.2
askari 10,walton station,19 min,10.2
askari 10,kalma chowk,25 min,15.0
askari 10,garden town,24 min,14.5
askari 10,shiekh welfare hospital,14 hr 12 min,14.5
askari 10,imamia colony,42 min,30.7
askari 10,ravi pull,31 min,26.8
askari 10,bhatti gate,30 min,27.3
askari 10,old campus,27 min,14.3
askari 10,shahdra station,30 min,26.9
askari 10,shahdara chowk,33 min,27.2
askari 10,kot abdul malik toll plaza,44 min,35.3
askari 10,baghm kot,35 min,28.5
askari 10,basi mor,20 min,15.4
askari 10,shalimar,19 min,8.6
askari 10,mughal pura,23 min,9.3
askari 10,Dhrampora,23 min,9.3
askari 10,Jailroad Pull,18 min,11.2
askari 10,Golbagh,29 min,23.1
askari 10,Taj pura,31 min,23.6
askari 10,Chmra Mandi,30 min,14.3
askari 10,Misri shah,30 min,23.6
askari 10,Duece road,23 min,12.0
askari 10,China Chownk,24 min,18.7
askari 10,Shadman,21 min,12.7
askari 10,Service hospital,32 min,18.0
askari 10,Nadeem chownk,15 min,8.3
askari 10,GPO,26 min,13.8
askari 10,UET,27 min,12.5
askari 10,Simla phari,22 min,11.8
askari 10,Engneering University,39 min,38.7
askari 10,Green Town,40 min,22.1
askari 10,Sadiq Chownk,38 min,20.6
askari 10,Barkat chownk,38 min,19.8
askari 10,Town ship,31 min,20.0
askari 10,Model Town,26 min,15.9
askari 10,General Hospital,28 min,15.0
askari 10,Muslim Town,22 min,12.9
askari 10,Multan Chungi,33 min,21.8
askari 10,Smanabad,28 min,16.5
askari 10,Chuburji,26 min,16.0
askari 10,MOA College,28 min,15.0
askari 10,Sherakot,38 min,32.5
askari 10,Liaqat chownk,36 min,20.0
askari 10,Phela gol chakr samanbad,14 min,5.8
askari 10,masjid kizra,33 min,14.5
askari 10,gulashan ravi,31 min,17.9
askari 10,yeteeem khana,36 min,19.6
askari 10,awaan town,39 min,21.2
askari 10,dubai chownk,29 min,16.9
askari 10,asif block,29 min,16.3
askari 10,abu bkr chownk,36 min,21.7
askari 10,usman chownk,31 min,22.9
askari 10,Butt chownk,37 min,23.0
askari 10,Faisal Town,27 min,18.2
askari 10,Chungi amrsandu,28 min,15.2
askari 10,Ywanaabad,27 min,26.6
askari 10,kala shah kaku,32 min,34.1
askari 10,wahdatroad,24 min,14.6
askari 10,Ichraaa,25 min,15.5
askari 10,Jnazgah,25 min,15.5
askari 10,allama iqbal town,34 min,19.9
askari 10,dubai chownk,29 min,16.9
saddar,sherpo bridge,12 min,6.0
saddar,new campus,19 min,12.9
saddar,defence mor,15 min,7.3
saddar,ghazi road,23 min,11.5
saddar,bhatta chowk,1 hr 5 min,60.0
saddar,ra bazar,13 min,6.0
saddar,firdus market,18 min,8.9
saddar,shah tajj market,17 min,8.0
saddar,walton station,17 min,8.0
saddar,kalma chowk,18 min,9.9
saddar,garden town,16 min,8.4
saddar,shiekh welfare hospital,14 hr 4 min,8.4
saddar,imamia colony,44 min,18.6
saddar,ravi pull,35 min,27.0
saddar,bhatti gate,24 min,9.9
saddar,old campus,19 min,8.1
saddar,shahdra station,34 min,14.8
saddar,shahdara chowk,36 min,15.1
